Released_Date,Movie_Name,Stars_Featuring,Language,Director,Budget,India Gross Collection,Overseas Collection,Worldwide Collection,Profit,Profit in Percentage,Rating,Verdict,Opening_Day,Screens,Genre
08-03-2024,Shaitaan,Ajay Devgn,Hindi,Vikas Bahl,95,176.2,37.6,213.8,118.8,12505%,6.5,Super Hit,15.0,4500,Horror
14-06-2024,Maharaja,Vijay Sethupathi,Tamil,Nithilan Saminathan,30,83.4,115.4,198.8,168.8,56267%,8.4,Blockbuster,13.6,1641,Thriller
12-01-2024,Guntur Kaaram,Mahesh Babu,Telugu,Trivikram Srinivas,125,152.6,31.6,184.2,59.2,4736%,5.4,Average,18.1,4061,Drama
28-03-2024,The Goat Life,Prithviraj Sukumaran,Malayalam,Blessy,50,98.8,59.4,158.2,108.2,21640%,7.1,Blockbuster,9.6,4081,Drama
11-04-2024,Aavesham,Fahadh Faasil,Malayalam,Jithu Madhavan,25,101.4,54.8,156.2,131.2,52480%,7.8,Blockbuster,7.4,1054,Comedy
26-07-2024,Raayan,Dhanush,Tamil,Dhanush,70,110.2,43.6,153.8,83.8,11971%,6.5,Blockbuster,11.7,2760,Crime
29-03-2024,Crew,Kareena Kapoor,Hindi,Rajesh A Krishnan,60,96.8,54.8,151.6,91.6,15267%,5.8,Super Hit,7.0,3000,Comedy
12-07-2024,Indian 2,Kamal Haasan,Tamil,S. Shankar,230,95.6,53.2,148.8,-81.2,-3530%,3.8,Disaster,13.4,8511,Action
09-02-2024,Premalu,Naslen,Malayalam,Girish A.D.,10,93.8,42.4,136.2,126.2,126200%,7.8,Blockbuster,4.2,667,Romance
09-02-2024,Teri Baaton Mein Aisa Uljha Jiya,Shahid Kapoor,Hindi,Amit Joshi,85,97.8,37.4,135.2,50.2,5906%,6.2,Average,9.2,2730,Romance
29-03-2024,Tillu Square,Siddu Jonnalagadda,Telugu,Mallik Ram,40,96.6,30.2,126.8,86.8,21700%,6.6,Blockbuster,9.1,1438,Comedy
07-06-2024,Munjya,Abhay Verma,Hindi,Aditya Sarpotdar,30,121.4,4.8,126.2,96.2,32067%,6.3,Blockbuster,4.5,2000,Horror
31-10-2024,Lucky Baskhar,Dulquer Salmaan,Telugu,Venky Atluri,30,86.4,27.4,113.8,83.8,27933%,8.0,Blockbuster,6.9,1079,Crime
19-07-2024,Bad Newz,Vicky Kaushal,Hindi,Anand Tiwari,80,76.8,36.8,113.6,33.6,4200%,4.7,Average,5.9,3481,Comedy
23-02-2024,Article 370,Yami Gautam,Hindi,Aditya Suhas Jambhale,40,92.2,12.6,104.8,64.8,16200%,7.8,Super Hit,4.9,1650,Drama
27-06-2024,Jatt & Juliet 3,Diljit Dosanjh,Punjabi,Jagdeep Sidhu,15,45.2,57.4,102.6,87.6,58400%,5.4,Blockbuster,8.0,339,Comedy
10-04-2024,Bade Miyan Chote Miyan,Akshay Kumar,Hindi,Ali Abbas Zafar,250,69.6,32.8,102.4,-147.6,-5904%,3.7,Disaster,20.0,5500,Action
29-08-2024,Saripodhaa Sanivaaram,Nani,Telugu,Vivek Athreya,55,75.8,25.6,101.4,46.4,8436%,7.0,Super Hit,9.2,4414,Action
03-05-2024,Aranmanai 4,Sundar C.,Tamil,Sundar C.,35,78.4,20.2,98.6,63.6,18171%,5.0,Blockbuster,4.3,1226,Horror
16-05-2024,Guruvayoor Ambalanadayil,Prithviraj Sukumaran,Malayalam,Vipin Das,20,55.4,34.8,90.2,70.2,35100%,6.6,Blockbuster,5.2,1757,Comedy
14-06-2024,Chandu Champion,Kartik Aaryan,Hindi,Kabir Khan,95,75.4,13.8,89.2,-5.8,-611%,7.8,Flop,6.7,2305,Sports
11-04-2024,Varshangalkku Shesham,Pranav Mohanlal,Malayalam,Vineeth Sreenivasan,15,46.4,36.4,82.8,67.8,45200%,6.6,Blockbuster,6.3,320,Drama
12-01-2024,Ayalaan,Sivakarthikeyan,Tamil,R. Ravikumar,70,62.4,17.8,80.2,10.2,1457%,6.0,Average,6.7,2646,Sci-Fi
06-09-2024,Kishkindha Kaandam,Asif Ali,Malayalam,Dinjith Ayyathan,8,47.6,29.2,76.8,68.8,86000%,8.0,Blockbuster,3.5,487,Drama
12-01-2024,Captain Miller,Dhanush,Tamil,Arun Matheswaran,65,58.8,16.8,75.6,10.6,1631%,6.5,Average,4.5,3366,Historical
23-05-2024,Turbo,Mammootty,Malayalam,Vysakh,40,40.8,31.6,72.4,32.4,8100%,5.9,Hit,5.1,2157,Action
15-08-2024,Thangalaan,Vikram,Tamil,Pa. Ranjith,80,53.2,16.6,69.8,-10.2,-1275%,6.6,Flop,6.6,4348,Historical
10-04-2024,Maidaan,Ajay Devgn,Hindi,Amit Ravindernath Sharma,180,62.8,5.8,68.6,-111.4,-6189%,7.9,Disaster,3.8,3200,Sports
25-12-2024,Baby John,Varun Dhawan,Hindi,Kalees,125,47.2,13.6,60.8,-64.2,-5136%,5.4,Disaster,5.8,5793,Action
10-05-2024,Srikanth,Rajkummar Rao,Hindi,Tushar Hiranandani,45,57.2,3.4,60.6,15.6,3467%,7.4,Above Average,2.9,923,Biography
31-05-2024,Garudan,Soori,Tamil,R.S. Durai Senthilkumar,20,50.2,10.2,60.4,40.4,20200%,7.1,Blockbuster,3.2,863,Action
25-12-2024,Max,Kichcha Sudeep,Kannada,Vijay Karthikeyan,50,57.4,1.8,59.2,9.2,1840%,7.1,Above Average,3.8,2971,Action
15-02-2024,Bramayugam,Mammootty,Malayalam,Rahul Sadasivan,25,32.4,26.2,58.6,33.6,13440%,7.8,Hit,3.2,1960,Horror
20-12-2024,Viduthalai Part 2,Vijay Sethupathi,Tamil,Vetrimaaran,45,47.8,10.4,58.2,13.2,2933%,7.9,Below Average,3.6,1193,Action
11-10-2024,Vicky Vidya Ka Woh Wala Video,Rajkummar Rao,Hindi,Raaj Shaandilyaa,50,48.2,8.6,56.8,6.8,1360%,5.2,Below Average,5.1,2352,Comedy
11-10-2024,Jigra,Alia Bhatt,Hindi,Vasan Bala,80,37.6,18.6,56.2,-23.8,-2975%,6.0,Disaster,5.6,2186,Action
22-11-2024,Sookshma Darshini,Nazriya Nazim,Malayalam,Mc Jithin,15,32.8,22.4,55.2,40.2,26800%,7.8,Blockbuster,2.6,763,Drama
15-08-2024,Khel Khel Mein,Akshay Kumar,Hindi,Mudassar Aziz,95,44.6,10.2,54.8,-40.2,-4232%,6.5,Disaster,5.0,2013,Comedy
15-03-2024,Yodha,Sidharth Malhotra,Hindi,"Sagar Ambre, Pushkar Ojha",65,42.2,11.4,53.6,-11.4,-1754%,5.7,Flop,4.6,3767,Action
31-05-2024,Mr. & Mrs. Mahi,Rajkummar Rao,Hindi,Sharan Sharma,40,42.3,9.5,51.8,11.8,2950%,5.9,Below Average,2.2,1879,Sports
27-09-2024,Meiyazhagan,Karthi,Tamil,C. Prem Kumar,35,39.2,12.2,51.4,16.4,4686%,8.4,Above Average,2.3,1301,Drama
